alpha,day,day_label,n_total,n_loss_in_day,loss_pct
0.56,4,Day 4,50,6,12.0
0.56,5,Day 5,50,6,12.0
0.57,1,Day 1,50,0,0.0
0.57,2,Day 2,50,1,2.0
0.57,3,Day 3,50,3,6.0
0.57,4,Day 4,50,6,12.0
0.57,5,Day 5,50,4,8.0
0.58,1,Day 1,50,0,0.0
0.58,2,Day 2,50,1,2.0
0.58,3,Day 3,50,3,6.0
0.58,4,Day 4,50,6,12.0
0.58,5,Day 5,50,5,10.0
0.59,1,Day 1,50,0,0.0
0.59,2,Day 2,50,1,2.0
0.59,3,Day 3,50,3,6.0
0.59,4,Day 4,50,6,12.0
0.59,5,Day 5,50,5,10.0
0.6,1,Day 1,50,0,0.0
0.6,2,Day 2,50,1,2.0
0.6,3,Day 3,50,3,6.0
0.6,4,Day 4,50,6,12.0
0.6,5,Day 5,50,5,10.0
0.61,1,Day 1,50,0,0.0
0.61,2,Day 2,50,1,2.0
0.61,3,Day 3,50,3,6.0
0.61,4,Day 4,50,5,10.0
0.61,5,Day 5,50,3,6.0
0.62,1,Day 1,50,0,0.0
0.62,2,Day 2,50,1,2.0
0.62,3,Day 3,50,3,6.0
0.62,4,Day 4,50,5,10.0
0.62,5,Day 5,50,3,6.0
0.63,1,Day 1,50,0,0.0
0.63,2,Day 2,50,1,2.0
0.63,3,Day 3,50,3,6.0
0.63,4,Day 4,50,5,10.0
0.63,5,Day 5,50,3,6.0
0.64,1,Day 1,50,0,0.0
0.64,2,Day 2,50,1,2.0
0.64,3,Day 3,50,2,4.0
0.64,4,Day 4,50,5,10.0
0.64,5,Day 5,50,3,6.0
0.65,1,Day 1,50,0,0.0
0.65,2,Day 2,50,1,2.0
0.65,3,Day 3,50,2,4.0
0.65,4,Day 4,50,5,10.0
0.65,5,Day 5,50,4,8.0
0.66,1,Day 1,50,0,0.0
0.66,2,Day 2,50,1,2.0
0.66,3,Day 3,50,2,4.0
0.66,4,Day 4,50,5,10.0
0.66,5,Day 5,50,5,10.0
0.67,1,Day 1,50,0,0.0
0.67,2,Day 2,50,1,2.0
0.67,3,Day 3,50,2,4.0
0.67,4,Day 4,50,6,12.0
0.67,5,Day 5,50,4,8.0
0.68,1,Day 1,50,0,0.0
0.68,2,Day 2,50,1,2.0
0.68,3,Day 3,50,1,2.0
0.68,4,Day 4,50,6,12.0
0.68,5,Day 5,50,4,8.0
0.69,1,Day 1,50,0,0.0
0.69,2,Day 2,50,1,2.0
0.69,3,Day 3,50,1,2.0
0.69,4,Day 4,50,6,12.0
0.69,5,Day 5,50,3,6.0
0.7,1,Day 1,50,0,0.0
0.7,2,Day 2,50,1,2.0
0.7,3,Day 3,50,1,2.0
0.7,4,Day 4,50,5,10.0
0.7,5,Day 5,50,3,6.0
0.71,1,Day 1,50,0,0.0
0.71,2,Day 2,50,1,2.0
0.71,3,Day 3,50,1,2.0
0.71,4,Day 4,50,6,12.0
0.71,5,Day 5,50,4,8.0
0.72,1,Day 1,50,0,0.0
0.72,2,Day 2,50,1,2.0
0.72,3,Day 3,50,1,2.0
0.72,4,Day 4,50,6,12.0
0.72,5,Day 5,50,5,10.0
0.73,1,Day 1,50,0,0.0
0.73,2,Day 2,50,1,2.0
0.73,3,Day 3,50,1,2.0
0.73,4,Day 4,50,5,10.0
0.73,5,Day 5,50,5,10.0
