rule,alpha,seed,loss_time,loss_branch,branch_collapse_time,branch_collapse_branch,final_prox_diam,final_dist_diam,hierarchy_success,joint_success,stable
BR5,0.04,534895719,27,0,8,0,21.804227203589665,4.138028520389279,1,0,0
BR5,0.04,199900596,0,0,0,0,5.570423008216336,10.504226244065093,0,0,1
BR5,0.04,862061405,0,0,0,0,12.095775674984047,8.59436692696235,1,1,1
BR5,0.04,787846415,0,0,0,0,8.912676813146138,9.86760647169751,0,0,1
BR5,0.04,996406379,0,0,0,0,4.933803235848755,14.64225476445437,0,0,1
BR5,0.04,127521864,0,0,6,0,12.891550390443523,7.480282325319081,1,1,1
BR5,0.04,423734973,27,0,8,2,25.62394583779515,0.0,1,0,0
BR5,0.04,415968277,0,0,0,0,18.302818455567966,8.435211983870454,1,1,1
BR5,0.04,670094951,0,0,0,0,14.164789935178685,7.9577471545947684,1,1,1
BR5,0.04,841095290,16,1,7,1,0.0,11.459155902616464,0,0,0
BR5,0.04,669991379,13,0,4,1,2.864788975654116,9.54929658551372,0,0,0
BR5,0.04,429389015,20,1,2,1,0.0,12.573240504259733,0,0,0
BR5,0.04,249467211,27,2,8,2,26.897185382530317,0.0,1,0,0
BR5,0.04,898717131,29,2,7,2,27.2154952687141,0.0,1,0,0
BR5,0.04,498972760,0,0,0,0,14.960564650638165,9.708451528605618,1,1,1
BR5,0.04,359525749,0,0,0,0,6.8436625529515,9.708451528605616,0,0,1
BR5,0.04,434285668,0,0,0,0,11.936620731892154,8.912676813146138,1,1,1
BR5,0.04,613608296,0,0,0,0,14.005634992086788,6.047887837492023,1,1,1
BR5,0.04,893664920,0,0,0,0,9.390141642421826,6.207042780583919,1,1,1
BR5,0.04,648061059,0,0,33,2,16.233804195373327,4.297183463481174,1,1,1
BR5,0.04,88409750,0,0,0,0,6.207042780583919,14.005634992086788,0,0,1
BR5,0.04,242285877,0,0,6,1,5.252113122032545,9.390141642421824,0,0,1
BR5,0.04,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.04,953477464,0,0,0,0,4.615493349664964,10.185916357881302,0,0,1
BR5,0.04,354088428,21,1,12,1,0.0,12.095775674984049,0,0,0
BR5,0.04,809827742,0,0,0,0,6.6845076098596055,8.435211983870454,0,0,1
BR5,0.04,911989542,0,0,18,2,22.122537089773452,0.0,1,1,1
BR5,0.04,3344770,0,0,0,0,7.002817496043396,10.185916357881302,0,0,1
BR5,0.04,780932288,11,1,2,1,0.0,13.528170162811104,0,0,0
BR5,0.04,787716373,27,0,8,0,21.485917317405875,5.729577951308232,1,0,0
BR5,0.04,504579233,0,0,0,0,17.825353626292276,7.639437268410977,1,1,1
BR5,0.04,232968652,0,0,33,0,14.483099821362476,3.023943918746012,1,1,1
BR5,0.04,479546682,0,0,10,0,15.756339366097638,7.16197243913529,1,1,1
BR5,0.04,106328086,0,0,24,2,16.392959138465223,3.8197186342054885,1,1,1
BR5,0.04,30349565,0,0,32,1,4.933803235848756,7.9577471545947684,0,0,1
BR5,0.04,781447916,0,0,0,0,6.8436625529515,10.345071300973197,0,0,1
BR5,0.04,99052377,0,0,10,0,5.411268065124442,8.753521870054245,0,0,1
BR5,0.04,177077809,0,0,0,0,7.3211273822271865,13.846480048994895,0,0,1
BR5,0.04,106406363,0,0,0,0,12.254930618075942,10.345071300973197,1,1,1
BR5,0.04,480404539,0,0,9,1,2.546479089470325,10.185916357881302,0,0,1
BR5,0.04,643647999,28,0,8,0,8.276057040778559,16.711269024649013,0,0,0
BR5,0.04,599121578,0,0,1,2,24.987326065427567,0.15915494309189535,1,1,1
BR5,0.04,200427520,0,0,0,0,16.392959138465223,5.729577951308232,1,1,1
BR5,0.04,181009884,0,0,0,0,8.276057040778559,13.209860276627316,0,0,1
BR5,0.04,961022652,0,0,24,0,9.390141642421826,7.798592211502871,1,1,1
BR5,0.04,499770320,20,1,8,1,0.0,9.230986699329929,0,0,0
BR5,0.04,999745295,0,0,0,0,11.30000095952457,10.822536130248883,1,1,1
BR5,0.04,885063870,0,0,0,0,14.960564650638162,5.411268065124442,1,1,1
BR5,0.04,389151678,0,0,0,0,9.390141642421828,9.390141642421826,1,1,1
BR5,0.04,151079599,0,0,24,2,15.915494309189537,7.321127382227187,1,1,1
BR5,0.05,534895719,27,0,8,0,22.759156862141037,3.183098861837907,1,0,0
BR5,0.05,199900596,0,0,0,0,6.207042780583919,9.867606471697513,0,0,1
BR5,0.05,862061405,0,0,33,2,20.053522829578814,2.3873241463784303,1,1,1
BR5,0.05,787846415,0,0,0,0,13.050705333535419,5.729577951308232,1,1,1
BR5,0.05,996406379,0,0,0,0,10.822536130248881,9.23098669932993,1,1,1
BR5,0.05,127521864,0,0,6,0,10.3450713009732,9.549296585513721,1,1,1
