alpha,seed,loss_time,first_loss_branch,stable
0.75,127521864,0,0,1
0.75,423734973,0,0,1
0.75,415968277,0,0,1
0.75,670094951,0,0,1
0.75,841095290,0,0,1
0.75,669991379,32,2,0
0.75,429389015,13,1,0
0.75,249467211,36,2,0
0.75,898717131,0,0,1
0.75,498972760,0,0,1
0.75,359525749,0,0,1
0.75,434285668,21,2,0
0.75,613608296,0,0,1
0.75,893664920,0,0,1
0.75,648061059,28,2,0
0.75,88409750,0,0,1
0.75,242285877,0,0,1
0.75,944505602,19,1,0
0.75,953477464,0,0,1
0.75,354088428,0,0,1
0.75,809827742,0,0,1
0.75,911989542,0,0,1
0.75,3344770,0,0,1
0.75,780932288,0,0,1
0.75,787716373,0,0,1
0.75,504579233,0,0,1
0.75,232968652,23,2,0
0.75,479546682,31,2,0
0.75,106328086,0,0,1
0.75,30349565,0,0,1
0.75,781447916,31,1,0
0.75,99052377,0,0,1
0.75,177077809,0,0,1
0.75,106406363,0,0,1
0.75,480404539,0,0,1
0.75,643647999,0,0,1
0.75,599121578,24,2,0
0.75,200427520,0,0,1
0.75,181009884,0,0,1
0.75,961022652,0,0,1
0.75,499770320,34,2,0
0.75,999745295,0,0,1
0.75,885063870,34,2,0
0.75,389151678,22,2,0
0.75,151079599,0,0,1
0.75,508464062,0,0,1
0.75,857592371,0,0,1
0.75,568919916,36,2,0
0.75,61136439,28,2,0
0.75,396917568,23,2,0
0.75,930989561,0,0,1
0.75,199502979,0,0,1
0.75,472190437,34,2,0
0.75,461901619,17,1,0
0.75,774414983,19,1,0
0.8,534895719,0,0,1
0.8,199900596,0,0,1
0.8,862061405,0,0,1
0.8,787846415,26,2,0
0.8,996406379,24,2,0
0.8,127521864,0,0,1
0.8,423734973,22,1,0
0.8,415968277,0,0,1
0.8,670094951,0,0,1
0.8,841095290,0,0,1
0.8,669991379,32,2,0
0.8,429389015,13,1,0
0.8,249467211,36,2,0
0.8,898717131,0,0,1
0.8,498972760,0,0,1
0.8,359525749,0,0,1
0.8,434285668,21,2,0
0.8,613608296,0,0,1
0.8,893664920,0,0,1
0.8,648061059,28,2,0
0.8,88409750,0,0,1
0.8,242285877,0,0,1
0.8,944505602,19,1,0
0.8,953477464,0,0,1
0.8,354088428,25,1,0
0.8,809827742,0,0,1
0.8,911989542,0,0,1
0.8,3344770,0,0,1
0.8,780932288,0,0,1
0.8,787716373,0,0,1
0.8,504579233,0,0,1
0.8,232968652,0,0,1
0.8,479546682,29,2,0
